X,Y,fmax
1.264,-0.035,250
1.266,-0.04,250
1.268,-0.04,250
1.27,-0.025,250
1.272,-0.015,250
1.274,-0.01,250
1.276,0.015,250
1.278,-0.005,250
1.28,-0.005,250
1.282,-0.015,250
1.284,-0.02,250
1.286,-0.025,250
1.288,-0.025,250
1.29,-0.01,250
1.292,0.005,250
1.294,0.015,250
1.296,0.02,250
1.298,0.015,250
1.3,0.005,250
1.302,0.005,250
1.304,0,250
1.306,0,250
1.308,0,250
1.31,0,250
1.312,0.005,250
1.314,0.02,250
1.316,0.03,250
1.318,0.02,250
1.32,-0.01,250
1.322,-0.025,250
1.324,-0.035,250
1.326,-0.055,250
1.328,-0.05,250
1.33,-0.045,250
1.332,-0.04,250
1.334,-0.045,250
1.336,-0.025,250
1.338,-0.035,250
1.34,-0.06,250
1.342,-0.06,250
1.344,-0.07,250
1.346,-0.08,250
1.348,-0.065,250
1.35,-0.055,250
1.352,-0.05,250
1.354,-0.05,250
1.356,-0.035,250
1.358,-0.055,250
1.36,-0.055,250
1.362,-0.06,250
1.364,-0.065,250
1.366,-0.065,250
1.368,-0.06,250
1.37,-0.065,250
1.372,-0.065,250
1.374,-0.065,250
1.376,-0.065,250
1.378,-0.065,250
1.38,-0.08,250
1.382,-0.085,250
1.384,-0.08,250
1.386,-0.1,250
1.388,-0.09,250
1.39,-0.08,250
1.392,-0.06,250
1.394,-0.045,250
1.396,-0.045,250
1.398,-0.055,250
1.4,-0.06,250
1.402,-0.085,250
1.404,-0.085,250
1.406,-0.1,250
1.408,-0.1,250
1.41,-0.08,250
1.412,-0.075,250
1.414,-0.07,250
1.416,-0.075,250
1.418,-0.095,250
1.42,-0.105,250
1.422,-0.115,250
1.424,-0.14,250
1.426,-0.155,250
1.428,-0.135,250
1.43,-0.105,250
1.432,-0.045,250
1.434,0.02,250
1.436,0.075,250
1.438,0.125,250
1.44,0.17,250
1.442,0.225,250
1.444,0.275,250
1.446,0.39,250
1.448,0.515,250
1.45,0.64,250
1.452,0.69,250
1.454,0.66,250
1.456,0.615,250
1.458,0.555,250
1.46,0.485,250
1.462,0.39,250
1.464,0.305,250
1.466,0.195,250
1.468,0.085,250
1.47,-0.03,250
1.472,-0.115,250
1.474,-0.155,250
1.476,-0.145,250
1.478,-0.125,250
1.48,-0.115,250
1.482,-0.11,250
1.484,-0.085,250
1.486,-0.05,250
1.488,-0.055,250
1.49,-0.03,250
1.492,-0.035,250
1.494,-0.045,250
1.496,-0.04,250
1.498,-0.04,250
1.5,-0.065,250
1.502,-0.07,250
1.504,-0.08,250
1.506,-0.075,250
1.508,-0.07,250
1.51,-0.06,250
1.512,-0.05,250
1.514,-0.03,250
1.516,-0.045,250
1.518,-0.045,250
1.52,-0.055,250
1.522,-0.06,250
1.524,-0.055,250
1.526,-0.06,250
1.528,-0.04,250
1.53,-0.035,250
1.532,-0.025,250
1.534,-0.01,250
1.536,-0.025,250
1.538,-0.045,250
1.54,-0.05,250
1.542,-0.055,250
1.544,-0.05,250
1.546,-0.055,250
1.548,-0.03,250
1.55,-0.025,250
1.552,-0.02,250
1.554,-0.01,250
1.556,-0.01,250
1.558,-0.02,250
1.56,-0.03,250
1.562,-0.025,250
1.564,-0.02,250
1.566,-0.015,250
1.568,0.005,250
1.57,0.02,250
1.572,0.025,250
1.574,0.025,250
1.576,0.015,250
1.578,0.005,250
1.58,-0.01,250
1.582,-0.01,250
1.584,-0.01,250
1.586,0.01,250
1.588,0.015,250
1.59,0.025,250
1.592,0.045,250
1.594,0.06,250
1.596,0.065,250
1.598,0.05,250
1.6,0.04,250
1.602,0.045,250
1.604,0.04,250
1.606,0.045,250
1.608,0.045,250
1.61,0.06,250
1.612,0.065,250
1.614,0.07,250
1.616,0.065,250
1.618,0.065,250
1.62,0.065,250
1.622,0.065,250
1.624,0.075,250
1.626,0.08,250
1.628,0.1,250
1.63,0.115,250
1.632,0.125,250
1.634,0.13,250
1.636,0.14,250
1.638,0.14,250
1.64,0.15,250
1.642,0.135,250
1.644,0.13,250
1.646,0.14,250
1.648,0.17,250
1.65,0.175,250
1.652,0.19,250
1.654,0.2,250
1.656,0.205,250
1.658,0.19,250
1.66,0.2,250
1.662,0.2,250
1.664,0.195,250
1.666,0.21,250
1.668,0.225,250
1.67,0.235,250
1.672,0.23,250
1.674,0.24,250
1.676,0.225,250
1.678,0.225,250
1.68,0.205,250
1.682,0.2,250
1.684,0.19,250
1.686,0.19,250
1.688,0.205,250
1.69,0.205,250
1.692,0.22,250
1.694,0.23,250
1.696,0.205,250
1.698,0.195,250
1.7,0.175,250
1.702,0.165,250
1.704,0.155,250
1.706,0.15,250
1.708,0.14,250
1.71,0.135,250
1.712,0.13,250
1.714,0.11,250
1.716,0.105,250
1.718,0.085,250
1.72,0.075,250
1.722,0.065,250
1.724,0.06,250
1.726,0.065,250
1.728,0.06,250
1.73,0.06,250
1.732,0.05,250
1.734,0.045,250
1.736,0.04,250
1.738,0.02,250
1.74,0.01,250
1.742,0,250
1.744,0,250
1.746,0.01,250
1.748,0.015,250
1.75,0.01,250
1.752,0.02,250
1.754,0.01,250
1.756,0,250
1.758,-0.02,250
1.76,-0.02,250
1.762,-0.04,250
1.764,-0.035,250
1.766,-0.025,250
1.768,-0.015,250
1.77,-0.005,250
1.772,0.005,250
1.774,-0.005,250
1.776,-0.02,250
1.778,-0.025,250
1.78,-0.025,250
1.782,-0.025,250
1.784,-0.025,250
1.786,-0.025,250
1.788,-0.01,250
1.79,0.005,250
1.792,0.015,250
1.794,0.01,250
1.796,0.005,250
1.798,-0.02,250
1.8,-0.015,250
1.802,-0.015,250
1.804,-0.02,250
1.806,-0.025,250
1.808,-0.02,250
1.81,-0.02,250
1.812,0,250
1.814,0.015,250
1.816,-0.005,250
1.818,-0.01,250
1.82,-0.02,250
1.822,-0.03,250
1.824,-0.03,250
1.826,-0.015,250
1.828,0,250
1.83,0.01,250
1.832,0.015,250
1.834,0.015,250
1.836,-0.005,250
1.838,-0.01,250
1.84,-0.035,250
1.842,-0.025,250
1.844,-0.025,250
1.846,-0.02,250
1.848,0.005,250
1.85,0.015,250
1.852,0.02,250
1.854,0.025,250
1.856,0,250
1.858,-0.01,250
1.86,-0.025,250
1.862,-0.035,250
1.864,-0.02,250
1.866,-0.01,250
1.868,0.005,250
1.87,0.005,250
1.872,0.01,250
1.874,0.015,250
1.876,0,250
1.878,-0.005,250
1.88,-0.02,250
1.882,-0.025,250
1.884,-0.025,250
1.886,-0.015,250
1.888,0,250
1.89,0.005,250
1.892,0.015,250
1.894,0.02,250
1.896,0,250
1.898,-0.015,250
1.9,-0.02,250
1.902,-0.03,250
1.904,-0.025,250
1.906,-0.005,250
1.908,-0.005,250
1.91,0,250
1.912,0.01,250
1.914,0.015,250
1.916,0.005,250
1.918,-0.01,250
1.92,-0.015,250
1.922,-0.02,250
1.924,-0.015,250
1.926,-0.005,250
1.928,-0.005,250
1.93,-0.005,250
1.932,-0.01,250
1.934,-0.01,250
1.936,-0.01,250
1.938,-0.015,250
1.94,-0.025,250
1.942,-0.025,250
1.944,-0.02,250
1.946,-0.01,250
1.948,-0.01,250
1.95,-0.005,250
1.952,-0.005,250
1.954,-0.01,250
1.956,-0.025,250
1.958,-0.025,250
1.96,-0.025,250
1.962,-0.035,250
1.964,-0.03,250
1.966,-0.02,250
1.968,-0.01,250
1.97,-0.005,250
1.972,-0.01,250
1.974,-0.015,250
1.976,-0.025,250
1.978,-0.03,250
1.98,-0.035,250
1.982,-0.04,250
1.984,-0.025,250
1.986,-0.02,250
1.988,-0.015,250
1.99,-0.005,250
1.992,0,250
1.994,-0.01,250
1.996,-0.025,250
1.998,-0.03,250
2,-0.045,250
2.002,-0.045,250
2.004,-0.045,250
2.006,-0.035,250
2.008,-0.04,250
2.01,-0.025,250
2.012,-0.01,250
2.014,-0.025,250
2.016,-0.04,250
2.018,-0.04,250
2.02,-0.03,250
2.022,-0.035,250
2.024,-0.04,250
2.026,-0.025,250
2.028,-0.02,250
2.03,-0.015,250
2.032,-0.005,250
2.034,-0.01,250
2.036,-0.025,250
2.038,-0.04,250
2.04,-0.045,250
2.042,-0.04,250
2.044,-0.02,250
2.046,-0.015,250
2.048,-0.01,250
2.05,0,250
2.052,-0.005,250
2.054,-0.01,250
2.056,-0.01,250
2.058,-0.015,250
2.06,0,250
2.062,0.01,250
2.064,0.025,250
2.066,0.065,250
2.068,0.07,250
2.07,0.085,250
2.072,0.1,250
2.074,0.1,250
2.076,0.09,250
2.078,0.09,250
2.08,0.095,250
2.082,0.085,250
2.084,0.1,250
2.086,0.105,250
2.088,0.11,250
2.09,0.12,250
2.092,0.125,250
2.094,0.13,250
2.096,0.145,250
2.098,0.155,250
