time,signal,
0.093193193,-0.16725738,160
0.094302636,-0.196876072,160
0.095412079,-0.223327943,160
0.096521521,-0.249315713,160
0.097630964,-0.257147411,160
0.098740407,-0.233854435,160
0.09984985,-0.21056146,160
0.100959293,-0.247375168,160
0.102068735,-0.29359688,160
0.103178178,-0.326089376,160
0.104287621,-0.334269695,160
0.105397064,-0.342450014,160
0.106506506,-0.240447068,160
0.107615949,-0.120080179,160
0.108725392,-0.04530884,160
0.109834835,-0.053967555,160
0.110944278,-0.06262627,160
0.11205372,-0.101899012,160
0.113163163,-0.146590162,160
0.114272606,-0.178097328,160
0.115382049,-0.184669554,160
0.116491491,-0.191241781,160
0.117600934,-0.155614309,160
0.118710377,-0.112074374,160
0.11981982,-0.118199439,160
0.120929263,-0.221447011,160
0.122038705,-0.324694583,160
0.123148148,-0.270694653,160
0.124257591,-0.185528591,160
0.125367034,-0.152668295,160
0.126476476,-0.225608315,160
0.127585919,-0.298548336,160
0.128695362,-0.263363355,160
0.129804805,-0.205570381,160
0.130914248,-0.166532307,160
0.13202369,-0.166748751,160
0.133133133,-0.166965195,160
0.134242576,-0.163988328,160
0.135352019,-0.160308347,160
0.136461461,-0.165829654,160
0.137570904,-0.191287083,160
0.138680347,-0.216744511,160
0.13978979,-0.22004365,160
0.140899233,-0.218213552,160
0.142008675,-0.226639239,160
0.143118118,-0.258077945,160
0.144227561,-0.289516652,160
0.145337004,-0.305882325,160
0.146446446,-0.3185854,160
0.147555889,-0.298076828,160
0.148665332,-0.200351235,160
0.149774775,-0.102625642,160
0.150884218,-0.157634155,160
0.15199366,-0.251546649,160
0.153103103,-0.288892244,160
0.154212546,-0.189896952,160
0.155321989,-0.09090166,160
0.156431431,-0.091262333,160
0.157540874,-0.118118002,160
0.158650317,-0.140547897,160
0.15975976,-0.151913376,160
0.160869202,-0.163278854,160
0.161978645,-0.182580779,160
0.163088088,-0.204095752,160
0.164197531,-0.205855812,160
0.165306974,-0.156359846,160
0.166416416,-0.10686388,160
0.167525859,-0.047774202,160
0.168635302,0.014109766,160
0.169744745,0.039989337,160
0.170854187,-0.031142765,160
0.17196363,-0.102274867,160
0.173073073,-0.079109553,160
0.174182516,-0.027285244,160
0.175291959,0.000611343,160
0.176401401,-0.038489706,160
0.177510844,-0.077590756,160
0.178620287,-0.095035663,160
0.17972973,-0.105619208,160
0.180839172,-0.102690487,160
0.181948615,-0.060417135,160
0.183058058,-0.018143782,160
0.184167501,-0.030072994,160
0.185276944,-0.059889028,160
0.186386386,-0.082918861,160
0.187495829,-0.085384453,160
0.188605272,-0.087850045,160
0.189714715,-0.061788998,160
0.190824157,-0.025930917,160
0.1919336,0.019000586,160
0.193043043,0.092570132,160
0.194152486,0.166139678,160
0.195261929,0.126479976,160
0.196371371,0.046381331,160
0.197480814,0.004354577,160
0.198590257,0.087596528,160
0.1996997,0.170838479,160
0.200809142,0.119322602,160
0.201918585,0.017793498,160
0.203028028,-0.057591975,160
0.204137471,-0.043217515,160
0.205246914,-0.028843055,160
0.206356356,-0.011574075,160
0.207465799,0.006810505,160
0.208575242,0.019511786,160
0.209684685,0.011831608,160
0.210794127,0.004151429,160
0.21190357,0.030195528,160
0.213013013,0.069729335,160
0.214122456,0.1039904,160
0.215231899,0.118478664,160
0.216341341,0.132966929,160
0.217450784,0.088420562,160
0.218560227,0.01938106,160
0.21966967,-0.021587633,160
0.220779112,0.04764736,160
0.221888555,0.116882352,160
0.222997998,0.112446375,160
0.224107441,0.076323981,160
0.225216883,0.047556386,160
0.226326326,0.04905663,160
0.227435769,0.050556873,160
0.228545212,0.048078724,160
0.229654655,0.043827593,160
0.230764097,0.033844987,160
0.23187354,-0.000897664,160
0.232982983,-0.035640315,160
0.234092426,-0.063242215,160
0.235201868,-0.087548387,160
0.236311311,-0.101474529,160
0.237420754,-0.068258046,160
0.238530197,-0.035041563,160
0.23963964,-0.020116721,160
0.240749082,-0.013931225,160
0.241858525,-0.004315509,160
0.242967968,0.021705648,160
0.244077411,0.047726805,160
0.245186853,0.021225595,160
0.246296296,-0.03124169,160
0.247405739,-0.082896627,160
0.248515182,-0.130452911,160
0.249624625,-0.178009195,160
0.250734067,-0.169403871,160
0.25184351,-0.132079536,160
0.252952953,-0.105216583,160
0.254062396,-0.134147789,160
0.255171838,-0.163078995,160
0.256281281,-0.126384892,160
0.257390724,-0.054992279,160
0.258500167,-0.000203839,160
0.25960961,-0.039228808,160
0.260719052,-0.078253778,160
0.261828495,-0.056004668,160
0.262937938,-0.000268567,160
0.264047381,0.044168802,160
0.265156823,0.020813687,160
0.266266266,-0.002541429,160
0.267375709,-0.057090484,160
0.268485152,-0.12925497,160
0.269594595,-0.184270864,160
0.270704037,-0.129726617,160
0.27181348,-0.07518237,160
0.272922923,-0.072412903,160
0.274032366,-0.099845374,160
0.275141808,-0.12284264,160
0.276251251,-0.115576131,160
0.277360694,-0.108309622,160
0.278470137,-0.104889301,160
0.279579579,-0.103785962,160
0.280689022,-0.095886486,160
0.281798465,-0.038290035,160
0.282907908,0.019306417,160
0.284017351,0.044055265,160
0.285126793,0.048374527,160
0.286236236,0.046551194,160
0.287345679,-0.003593865,160
0.288455122,-0.053738923,160
0.289564564,-0.10911352,160
0.290674007,-0.167845353,160
0.29178345,-0.212397998,160
0.292892893,-0.136427049,160
0.294002336,-0.0604561,160
0.295111778,-0.014010849,160
0.296221221,0.012873653,160
0.297330664,0.033463791,160
0.298440107,-0.004047821,160
0.299549549,-0.041559432,160
0.300658992,-0.046799664,160
0.301768435,-0.02998097,160
0.302877878,-0.01836275,160
0.303987321,-0.059182827,160
0.305096763,-0.100002903,160
0.306206206,-0.101976547,160
0.307315649,-0.076558421,160
0.308425092,-0.05299106,160
0.309534534,-0.049950316,160
0.310643977,-0.046909572,160
0.31175342,-0.044934416,160
0.312862863,-0.043734232,160
0.313972306,-0.041963204,160
0.315081748,-0.033170772,160
0.316191191,-0.024378341,160
0.317300634,-0.046813565,160
0.318410077,-0.092669566,160
